repo,file_path,total_commits,commits_last_30d,commits_last_90d,days_since_last_change,unique_authors,top_owner_pct,avg_lines_added,avg_lines_deleted,max_lines_changed,bug_fix_count,bug_fix_rate,days_since_last_bugfix,file_age_days,avg_nloc,is_buggy
Bountera,lib/utils.js,2,1,1,72,2,0.5,6.0,3.0,12,1,0.5,345,273,5.0,1
Bountera,next.config.mjs,4,1,1,72,2,0.75,26.25,13.25,104,1,0.25,255,273,32.0,1
Bountera,package-lock.json,2,1,1,72,2,0.5,6102.0,3051.0,12204,0,0.0,9999,273,,0
Bountera,package.json,5,2,2,72,2,0.6,22.0,15.0,70,1,0.2,345,273,,1
Bountera,pnpm-workspace.yaml,1,1,1,72,1,1.0,3.0,0.0,3,0,0.0,9999,0,,0
Bountera,postcss.config.mjs,1,1,1,345,1,1.0,5.0,0.0,5,0,0.0,9999,0,4.0,0
Bountera,public/deafultbanner.jpeg,1,1,1,319,1,1.0,0.0,0.0,0,1,1.0,319,0,,1
Bountera,public/defaultbanner.jpeg,1,1,1,317,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
Bountera,public/defaultpfp.jpg,1,1,1,319,1,1.0,0.0,0.0,0,1,1.0,319,0,,1
Bountera,public/delete-icon.svg,2,1,1,72,2,0.5,6.0,3.0,12,0,0.0,9999,247,,0
Bountera,public/edit-icon.svg,2,1,1,72,2,0.5,4.0,2.0,8,0,0.0,9999,247,,0
Bountera,public/file.svg,1,1,1,345,1,1.0,1.0,0.0,1,0,0.0,9999,0,,0
Bountera,public/globe.svg,1,1,1,345,1,1.0,1.0,0.0,1,0,0.0,9999,0,,0
Bountera,public/manifest.json,2,1,1,72,2,0.5,27.0,13.5,54,0,0.0,9999,273,,0
Bountera,public/next.svg,1,1,1,345,1,1.0,1.0,0.0,1,0,0.0,9999,0,,0
Bountera,public/vercel.svg,1,1,1,345,1,1.0,1.0,0.0,1,0,0.0,9999,0,,0
Bountera,public/window.svg,1,1,1,345,1,1.0,1.0,0.0,1,0,0.0,9999,0,,0
Bountera,tailwind.config.js,2,1,1,72,2,0.5,101.0,50.5,202,1,0.5,345,273,99.0,1
Bountera,utils/activityData.js,3,1,1,72,2,0.6666666666666666,87.33333333333333,43.666666666666664,260,0,0.0,9999,245,107.0,0
Bountera,utils/applicationData.js,3,1,1,72,2,0.6666666666666666,348.3333333333333,175.66666666666666,1036,0,0.0,9999,241,401.3333333333333,0
Bountera,utils/bountyData.js,4,1,1,72,2,0.75,184.0,97.25,694,0,0.0,9999,245,221.0,0
Bountera,utils/donationData.js,2,1,1,72,2,0.5,83.0,41.5,166,0,0.0,9999,183,50.0,0
Bountera,utils/pointsSystem.js,2,1,1,72,2,0.5,347.5,173.5,694,0,0.0,9999,241,263.0,0
Bountera,utils/storageManager.js,2,1,1,72,2,0.5,99.5,49.5,198,0,0.0,9999,241,83.0,0
Bountera,utils/userData.js,4,1,1,72,2,0.75,91.5,46.0,364,0,0.0,9999,247,127.0,0
Bountera,vercel.json,3,1,1,72,2,0.6666666666666666,6.666666666666667,4.666666666666667,13,1,0.3333333333333333,255,183,,1
