commit_hash,author,date,msg,file,file_path,lines_added,lines_deleted,complexity,nloc,is_bug_fix
d65be46dc41653722cf6175f14074fc38f53a2c7,Will McGugan,2020-04-02 16:59:44+01:00,Tests,_exception_render.py,tests/_exception_render.py,1,0,0.0,1.0,0
d65be46dc41653722cf6175f14074fc38f53a2c7,Will McGugan,2020-04-02 16:59:44+01:00,Tests,render.py,tests/render.py,10,0,1.0,7.0,0
d65be46dc41653722cf6175f14074fc38f53a2c7,Will McGugan,2020-04-02 16:59:44+01:00,Tests,test_card.py,tests/test_card.py,22,0,1.0,16.0,0
d65be46dc41653722cf6175f14074fc38f53a2c7,Will McGugan,2020-04-02 16:59:44+01:00,Tests,test_console.py,tests/test_console.py,6,0,9.0,34.0,0
d65be46dc41653722cf6175f14074fc38f53a2c7,Will McGugan,2020-04-02 16:59:44+01:00,Tests,test_emoji.py,tests/test_emoji.py,6,0,4.0,14.0,0
d65be46dc41653722cf6175f14074fc38f53a2c7,Will McGugan,2020-04-02 16:59:44+01:00,Tests,test_style.py,tests/test_style.py,5,0,16.0,105.0,0
d65be46dc41653722cf6175f14074fc38f53a2c7,Will McGugan,2020-04-02 16:59:44+01:00,Tests,test_tools.py,tests/test_tools.py,3,3,4.0,30.0,0
d65be46dc41653722cf6175f14074fc38f53a2c7,Will McGugan,2020-04-02 16:59:44+01:00,Tests,test_traceback.py,tests/test_traceback.py,80,0,12.0,58.0,0
d65be46dc41653722cf6175f14074fc38f53a2c7,Will McGugan,2020-04-02 16:59:44+01:00,Tests,_make_style_table.py,tools/_make_style_table.py,0,0,,,0
d678050802cae8c7242474ec382ced68c41e3bc3,Will McGugan,2020-04-02 17:09:41+01:00,time card render,CHANGELOG.md,CHANGELOG.md,2,0,,,0
d678050802cae8c7242474ec382ced68c41e3bc3,Will McGugan,2020-04-02 17:09:41+01:00,time card render,__main__.py,rich/__main__.py,10,2,8.0,151.0,0
d678050802cae8c7242474ec382ced68c41e3bc3,Will McGugan,2020-04-02 17:09:41+01:00,time card render,console.py,rich/console.py,4,0,142.0,681.0,0
d678050802cae8c7242474ec382ced68c41e3bc3,Will McGugan,2020-04-02 17:09:41+01:00,time card render,traceback.py,rich/traceback.py,1,1,31.0,246.0,0
c605444aee1f531d49657a7f6c5b03bcd3e6973a,Will McGugan,2020-04-02 17:10:34+01:00,type fix,__main__.py,rich/__main__.py,1,1,8.0,151.0,1
eef627d6eeacc9bfe82d01db490d62cdd1eec7f5,Will McGugan,2020-04-04 16:55:28+01:00,bar tests,__main__.py,rich/__main__.py,1,1,8.0,151.0,0
eef627d6eeacc9bfe82d01db490d62cdd1eec7f5,Will McGugan,2020-04-04 16:55:28+01:00,bar tests,bar.py,rich/bar.py,8,5,16.0,74.0,0
eef627d6eeacc9bfe82d01db490d62cdd1eec7f5,Will McGugan,2020-04-04 16:55:28+01:00,bar tests,live_render.py,rich/live_render.py,2,2,8.0,58.0,0
f538099efa161b0d26b3f89bc20fea3db5ae3b89,Will McGugan,2020-04-08 07:07:17+01:00,fix typos in test card,__main__.py,rich/__main__.py,3,3,8.0,151.0,1
f538099efa161b0d26b3f89bc20fea3db5ae3b89,Will McGugan,2020-04-08 07:07:17+01:00,fix typos in test card,color.py,rich/color.py,1,2,49.0,421.0,1
f538099efa161b0d26b3f89bc20fea3db5ae3b89,Will McGugan,2020-04-08 07:07:17+01:00,fix typos in test card,_card_render.py,tests/_card_render.py,1,1,0.0,1.0,1
7029dbb74dd6336d365d119d6004cd1a1f228a72,Will McGugan,2020-04-08 07:27:01+01:00,Fix test for CI,test_traceback.py,tests/test_traceback.py,2,1,12.0,59.0,1
f7c5ae419c0d8f52827753507da3bfdb359a7b83,Will McGugan,2020-04-12 12:48:00+01:00,added row_styles,CHANGELOG.md,CHANGELOG.md,5,1,,,0
f7c5ae419c0d8f52827753507da3bfdb359a7b83,Will McGugan,2020-04-12 12:48:00+01:00,added row_styles,table.py,rich/table.py,54,18,111.0,429.0,0
f7c5ae419c0d8f52827753507da3bfdb359a7b83,Will McGugan,2020-04-12 12:48:00+01:00,added row_styles,test_bar.py,tests/test_bar.py,54,0,4.0,40.0,0
ff2525a86f5a55951701ae295577b1c31454980c,Will McGugan,2020-04-12 12:52:45+01:00,optimize,table.py,rich/table.py,2,5,111.0,426.0,0
cb58cfd5c8dc26a9cb56c86ab0c88b14fdb1550e,Will McGugan,2020-04-12 13:08:47+01:00,pull request template,CHANGELOG.md,CHANGELOG.md,1,1,,,0
cb58cfd5c8dc26a9cb56c86ab0c88b14fdb1550e,Will McGugan,2020-04-12 13:08:47+01:00,pull request template,pull_request_template.md,pull_request_template.md,18,0,,,0
cb58cfd5c8dc26a9cb56c86ab0c88b14fdb1550e,Will McGugan,2020-04-12 13:08:47+01:00,pull request template,pyproject.toml,pyproject.toml,1,1,,,0
cb58cfd5c8dc26a9cb56c86ab0c88b14fdb1550e,Will McGugan,2020-04-12 13:08:47+01:00,pull request template,console.py,rich/console.py,1,1,142.0,681.0,0
cb58cfd5c8dc26a9cb56c86ab0c88b14fdb1550e,Will McGugan,2020-04-12 13:08:47+01:00,pull request template,table.py,rich/table.py,1,1,111.0,426.0,0
