commit_hash,author,committer,author_date,committer_date,msg,is_merge,parents_count,file,file_path,lines_added,lines_deleted,lines_changed,is_bug_fix,is_buggy
369dff642883ded68eca98754ce81369634da94d,Mike Smith,Mike Smith,2020-05-15 20:48:23+00:00,2020-05-15T13:56:57-07:00,Add box tests,False,1,test_box.py,tests/test_box.py,35,0,35,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,just.py,just.py,13,0,13,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,_log_render.py,rich/_log_render.py,4,2,6,0,1
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,align.py,rich/align.py,78,0,78,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,console.py,rich/console.py,46,7,53,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,padding.py,rich/padding.py,1,1,2,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,test_logging.py,tests/test_logging.py,1,1,2,0,1
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,progress.py,rich/progress.py,26,7,33,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,test_log.py,tests/test_log.py,1,1,2,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,test_console.py,tests/test_console.py,53,1,54,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,pretty.py,rich/pretty.py,1,1,2,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,segment.py,rich/segment.py,21,0,21,0,0
5538397047eb466a0cc21378e030158a2fa6e051,Will McGugan,Will McGugan,2020-05-17 11:39:51+00:00,2020-05-17T12:39:51+01:00,added justify to print,False,1,test_align.py,tests/test_align.py,30,0,30,0,0
8b8de64ab9882469491c20de6e7b7dd590e4eade,Will McGugan,Will McGugan,2020-05-17 11:49:01+00:00,2020-05-17T12:49:01+01:00,typecheck,False,1,align.py,rich/align.py,1,1,2,0,0
54b7e3c88108a14c9ac327a01728c279d70d9c54,Will McGugan,Will McGugan,2020-05-17 13:52:48+00:00,2020-05-17T14:52:48+01:00,docs and example,False,1,just.py,just.py,0,13,13,0,0
54b7e3c88108a14c9ac327a01728c279d70d9c54,Will McGugan,Will McGugan,2020-05-17 13:52:48+00:00,2020-05-17T14:52:48+01:00,docs and example,False,1,just.py,examples/just.py,9,0,9,0,0
1db22c9d8848574e4e025dc7609dbee8eeb91c2f,Will McGugan,Will McGugan,2020-05-19 12:38:13+00:00,2020-05-19T13:38:13+01:00,allow attribute abbreviations,False,1,test_bar.py,tests/test_bar.py,6,0,6,0,0
1db22c9d8848574e4e025dc7609dbee8eeb91c2f,Will McGugan,Will McGugan,2020-05-19 12:38:13+00:00,2020-05-19T13:38:13+01:00,allow attribute abbreviations,False,1,table.py,rich/table.py,4,1,5,0,0
1db22c9d8848574e4e025dc7609dbee8eeb91c2f,Will McGugan,Will McGugan,2020-05-19 12:38:13+00:00,2020-05-19T13:38:13+01:00,allow attribute abbreviations,False,1,style.py,rich/style.py,21,13,34,0,0
1db22c9d8848574e4e025dc7609dbee8eeb91c2f,Will McGugan,Will McGugan,2020-05-19 12:38:13+00:00,2020-05-19T13:38:13+01:00,allow attribute abbreviations,False,1,progress.py,rich/progress.py,5,1,6,0,1
1db22c9d8848574e4e025dc7609dbee8eeb91c2f,Will McGugan,Will McGugan,2020-05-19 12:38:13+00:00,2020-05-19T13:38:13+01:00,allow attribute abbreviations,False,1,measure.py,rich/measure.py,2,0,2,0,0
1db22c9d8848574e4e025dc7609dbee8eeb91c2f,Will McGugan,Will McGugan,2020-05-19 12:38:13+00:00,2020-05-19T13:38:13+01:00,allow attribute abbreviations,False,1,markup.py,rich/markup.py,6,3,9,0,1
1db22c9d8848574e4e025dc7609dbee8eeb91c2f,Will McGugan,Will McGugan,2020-05-19 12:38:13+00:00,2020-05-19T13:38:13+01:00,allow attribute abbreviations,False,1,default_styles.py,rich/default_styles.py,0,4,4,0,0
1db22c9d8848574e4e025dc7609dbee8eeb91c2f,Will McGugan,Will McGugan,2020-05-19 12:38:13+00:00,2020-05-19T13:38:13+01:00,allow attribute abbreviations,False,1,bar.py,rich/bar.py,3,1,4,0,0
b0e496c7946ee0b7293525cbceab8e963ff59d0e,Will McGugan,Will McGugan,2020-05-19 14:37:51+00:00,2020-05-19T15:37:51+01:00,renamed Text.text to Text.plain,False,1,containers.py,rich/containers.py,4,4,8,0,0
b0e496c7946ee0b7293525cbceab8e963ff59d0e,Will McGugan,Will McGugan,2020-05-19 14:37:51+00:00,2020-05-19T15:37:51+01:00,renamed Text.text to Text.plain,False,1,table.py,rich/table.py,13,1,14,0,0
b0e496c7946ee0b7293525cbceab8e963ff59d0e,Will McGugan,Will McGugan,2020-05-19 14:37:51+00:00,2020-05-19T15:37:51+01:00,renamed Text.text to Text.plain,False,1,text.py,rich/text.py,26,26,52,0,0
b0e496c7946ee0b7293525cbceab8e963ff59d0e,Will McGugan,Will McGugan,2020-05-19 14:37:51+00:00,2020-05-19T15:37:51+01:00,renamed Text.text to Text.plain,False,1,test_text.py,tests/test_text.py,9,9,18,0,0
51387ef15007f24d7cf9cfccb4faeb05d687dd18,Will McGugan,Will McGugan,2020-05-19 16:59:52+00:00,2020-05-19T17:59:52+01:00,collapse_padding,False,1,test_log.py,tests/test_log.py,1,1,2,0,1
51387ef15007f24d7cf9cfccb4faeb05d687dd18,Will McGugan,Will McGugan,2020-05-19 16:59:52+00:00,2020-05-19T17:59:52+01:00,collapse_padding,False,1,_card_render.py,tests/_card_render.py,1,1,2,0,0
51387ef15007f24d7cf9cfccb4faeb05d687dd18,Will McGugan,Will McGugan,2020-05-19 16:59:52+00:00,2020-05-19T17:59:52+01:00,collapse_padding,False,1,table.py,rich/table.py,28,17,45,0,0
51387ef15007f24d7cf9cfccb4faeb05d687dd18,Will McGugan,Will McGugan,2020-05-19 16:59:52+00:00,2020-05-19T17:59:52+01:00,collapse_padding,False,1,segment.py,rich/segment.py,7,0,7,0,0
51387ef15007f24d7cf9cfccb4faeb05d687dd18,Will McGugan,Will McGugan,2020-05-19 16:59:52+00:00,2020-05-19T17:59:52+01:00,collapse_padding,False,1,rule.py,rich/rule.py,1,0,1,0,0
51387ef15007f24d7cf9cfccb4faeb05d687dd18,Will McGugan,Will McGugan,2020-05-19 16:59:52+00:00,2020-05-19T17:59:52+01:00,collapse_padding,False,1,table.py,examples/table.py,1,0,1,0,0
8e402e491160df306bf8829c7ea8734b30f5549b,Will McGugan,Will McGugan,2020-05-20 16:19:55+00:00,2020-05-20T17:19:55+01:00,"clear method, optimizations, export links",False,1,__main__.py,rich/__main__.py,2,3,5,0,0
8e402e491160df306bf8829c7ea8734b30f5549b,Will McGugan,Will McGugan,2020-05-20 16:19:55+00:00,2020-05-20T17:19:55+01:00,"clear method, optimizations, export links",False,1,test_segment.py,tests/test_segment.py,5,0,5,0,0
8e402e491160df306bf8829c7ea8734b30f5549b,Will McGugan,Will McGugan,2020-05-20 16:19:55+00:00,2020-05-20T17:19:55+01:00,"clear method, optimizations, export links",False,1,test_console.py,tests/test_console.py,18,4,22,0,0
8e402e491160df306bf8829c7ea8734b30f5549b,Will McGugan,Will McGugan,2020-05-20 16:19:55+00:00,2020-05-20T17:19:55+01:00,"clear method, optimizations, export links",False,1,_card_render.py,tests/_card_render.py,1,1,2,0,1
8e402e491160df306bf8829c7ea8734b30f5549b,Will McGugan,Will McGugan,2020-05-20 16:19:55+00:00,2020-05-20T17:19:55+01:00,"clear method, optimizations, export links",False,1,table.py,rich/table.py,23,10,33,0,0
8e402e491160df306bf8829c7ea8734b30f5549b,Will McGugan,Will McGugan,2020-05-20 16:19:55+00:00,2020-05-20T17:19:55+01:00,"clear method, optimizations, export links",False,1,segment.py,rich/segment.py,21,14,35,0,0
8e402e491160df306bf8829c7ea8734b30f5549b,Will McGugan,Will McGugan,2020-05-20 16:19:55+00:00,2020-05-20T17:19:55+01:00,"clear method, optimizations, export links",False,1,console.py,rich/console.py,23,14,37,0,0
5097f44092a4ba4ef7741755b3752d2aebe772a0,Will McGugan,Will McGugan,2020-05-20 17:55:23+00:00,2020-05-20T18:55:23+01:00,bar width fix,False,1,progress.py,rich/progress.py,1,1,2,1,0
5097f44092a4ba4ef7741755b3752d2aebe772a0,Will McGugan,Will McGugan,2020-05-20 17:55:23+00:00,2020-05-20T18:55:23+01:00,bar width fix,False,1,test_progress.py,tests/test_progress.py,9,0,9,1,0
afb94d97dc498574b14f8cab555d230de91fe559,Will McGugan,Will McGugan,2020-05-21 16:15:08+00:00,2020-05-21T17:15:08+01:00,add attributes,False,1,_make_style_table.py,tools/_make_style_table.py,0,18,18,0,0
afb94d97dc498574b14f8cab555d230de91fe559,Will McGugan,Will McGugan,2020-05-21 16:15:08+00:00,2020-05-21T17:15:08+01:00,add attributes,False,1,__main__.py,rich/__main__.py,3,3,6,0,0
afb94d97dc498574b14f8cab555d230de91fe559,Will McGugan,Will McGugan,2020-05-21 16:15:08+00:00,2020-05-21T17:15:08+01:00,add attributes,False,1,_style_table.py,rich/_style_table.py,0,517,517,0,0
afb94d97dc498574b14f8cab555d230de91fe559,Will McGugan,Will McGugan,2020-05-21 16:15:08+00:00,2020-05-21T17:15:08+01:00,add attributes,False,1,color.py,rich/color.py,5,5,10,0,1
afb94d97dc498574b14f8cab555d230de91fe559,Will McGugan,Will McGugan,2020-05-21 16:15:08+00:00,2020-05-21T17:15:08+01:00,add attributes,False,1,style.py,rich/style.py,157,103,260,0,0
afb94d97dc498574b14f8cab555d230de91fe559,Will McGugan,Will McGugan,2020-05-21 16:15:08+00:00,2020-05-21T17:15:08+01:00,add attributes,False,1,markdown.py,rich/markdown.py,1,1,2,0,0
afb94d97dc498574b14f8cab555d230de91fe559,Will McGugan,Will McGugan,2020-05-21 16:15:08+00:00,2020-05-21T17:15:08+01:00,add attributes,False,1,test_style.py,tests/test_style.py,48,20,68,0,0
afb94d97dc498574b14f8cab555d230de91fe559,Will McGugan,Will McGugan,2020-05-21 16:15:08+00:00,2020-05-21T17:15:08+01:00,add attributes,False,1,console.py,rich/console.py,6,29,35,0,0
